FID,serial,wkb_geometry,name,description,timestamp,begin,end,altitudemode,tessellate,extrude,visibility,draworder,icon,id_zonamusculacion,nomzonamusculacion,ubicacion,foto,id_maquina,nommaquina,nivel,icono,funcion,desarrollo,precauciones,maquinafoto1,maquinafoto2,x,y
da_zonasMusculacion.fid--295bdb9_15f70688162_14fe,24175,POINT (-4.415622000073987 36.733385034963675),,,,,,,-1,-1,-1,0,,1,Pl. Olletas,,http://geoportal.malaga.eu/img/deportes/fz_1.jpg,1,Arco para brazos,1,http://geoportal.malaga.eu/img/deportes/im1.png,Mejorar limitaciones de la articulación del hombro.Aumentar flexibilidad de la muñeca y movilidad del hombro,"Colocados debajo del arco, perpendicularmente a éste, con la espalda erguida y piernas separadas agarramos la anilla con una mano y la desplazamos desde un extremo a otro; repetimos con la otra mano. Cambiamos de posición, para situarnos paralelos al arco, y realizamos el ejercicio con las dos manos a la vez.",Se debe abandonar el ejercicio si aparecen mareos o dolor de cuello.Los movimientos deben ser lentos y controlados.,http://geoportal.malaga.eu/img/deportes/fm_1_1.jpg,http://geoportal.malaga.eu/img/deportes/fm_1_2.jpg,373601.4183,4066230.5863
da_zonasMusculacion.fid--295bdb9_15f70688162_14ff,24176,POINT (-4.415622000073987 36.733385034963675),,,,,,,-1,-1,-1,0,,1,Pl. Olletas,,http://geoportal.malaga.eu/img/deportes/fz_1.jpg,11,Escalera de dedos,1,http://geoportal.malaga.eu/img/deportes/im11.png,Aumentar la amplitud de movimientos del hombro.Ejercitar los dedos.,"Nos colocamos frente a la máquina, con la espalda erguida, piernas separadas y ligeramente flexionadas. Ponemos un dedo índice en el escalón situado a la altura del pecho, y vamos subiendo subiendo lenta y consecutivamente, intentando tocar con cada dedo de la mano un escalón diferente. Una vez que alcancemos la altura máxima, repetiremos el ejercicio, esta vez de arriba hacia abajo.Y después, repetimos el ejercicio con los dedos de la otra mano.","Evitar permanecer con la barbilla hacia arriba, para prevenir molestias cervicales.",http://geoportal.malaga.eu/img/deportes/fm_11_1.jpg,http://geoportal.malaga.eu/img/deportes/fm_11_2.jpg,373601.4183,4066230.5863
da_zonasMusculacion.fid--295bdb9_15f70688162_1500,24177,POINT (-4.415622000073987 36.733385034963675),,,,,,,-1,-1,-1,0,,1,Pl. Olletas,,http://geoportal.malaga.eu/img/deportes/fz_1.jpg,12,Espiral,1,http://geoportal.malaga.eu/img/deportes/im12.png,"Aaumentar, o mantener, la flexibilidad y movilidad de la muñeca y del codo.","Situados frente al aparato, y agarrando el asidero con una mano, desplazamos éste de un extremo a otro de la espiral. Repetimos con la otra mano.",Los movimientos deben ser lentos y controlados.,http://geoportal.malaga.eu/img/deportes/fm_12_1.jpg,http://geoportal.malaga.eu/img/deportes/fm_12_2.jpg,373601.4183,4066230.5863
da_zonasMusculacion.fid--295bdb9_15f70688162_1501,24178,POINT (-4.415622000073987 36.733385034963675),,,,,,,-1,-1,-1,0,,1,Pl. Olletas,,http://geoportal.malaga.eu/img/deportes/fz_1.jpg,14,Giro de cintura,1,http://geoportal.malaga.eu/img/deportes/im14.png,Mejorar la musculatura abdominal.,"De pie, en la plataforma giratoria, con las manos en las empuñaduras y manteniendo el tronco derecho, se realizan rotaciones de la pelvis, de un lado a otro, manteniendo los hombros inmóviles.",No recomendado a personas con problemas lumbares.Evitar las rotaciones bruscas.,http://geoportal.malaga.eu/img/deportes/fm_14_1.jpg,http://geoportal.malaga.eu/img/deportes/fm_14_2.jpg,373601.4183,4066230.5863
da_zonasMusculacion.fid--295bdb9_15f70688162_1502,24179,POINT (-4.415622000073987 36.733385034963675),,,,,,,-1,-1,-1,0,,1,Pl. Olletas,,http://geoportal.malaga.eu/img/deportes/fz_1.jpg,2,Banco,1,http://geoportal.malaga.eu/img/deportes/im2.png,Mejorar la circulación de los miembros inferiores.,"Sentados en el banco, con la espalda apoyada en el respaldo, elevamos alternativamente las piernas. Podremos colocar la puntera del pie orientada hacia delante o mirando arriba para conseguir distintos objetivos.También se pueden elevar las dos piernas a la vez.",Se debe mantener la espalda apoyada en el banco.Los movimientos deben ser lentos y controlados,http://geoportal.malaga.eu/img/deportes/fm_2_1.jpg,http://geoportal.malaga.eu/img/deportes/fm_2_2.jpg,373601.4183,4066230.5863
da_zonasMusculacion.fid--295bdb9_15f70688162_1503,24180,POINT (-4.415622000073987 36.733385034963675),,,,,,,-1,-1,-1,0,,1,Pl. Olletas,,http://geoportal.malaga.eu/img/deportes/fz_1.jpg,25,Serpiente,1,http://geoportal.malaga.eu/img/deportes/im25.png,"Mantener o aumentar la flexibilidad y movilidad de la muñeca, codo y hombro.","Sitúese frente al aparato y agarrando el asidero con una mano, desplace éste de un extremo a otro de la serpiente. Cambie de mano y repita el ejercicio.",Los movimientos deben ser lentos y controlados.,http://geoportal.malaga.eu/img/deportes/fm_25_1.jpg,http://geoportal.malaga.eu/img/deportes/fm_25_2.jpg,373601.4183,4066230.5863
da_zonasMusculacion.fid--295bdb9_15f70688162_1504,24181,POINT (-4.415622000073987 36.733385034963675),,,,,,,-1,-1,-1,0,,1,Pl. Olletas,,http://geoportal.malaga.eu/img/deportes/fz_1.jpg,26,Silla con pedales,1,http://geoportal.malaga.eu/img/deportes/im26.png,Aumentar la capacidad cardiaca y pulmonar.Desarrollar la movilidad articular de la rodilla,"Siéntese cómodamente en el banco y coloque ambos pies sobre los pedales. Pedalee. Como variante, puede realizar el pedaleo hacia atrás.",Los movimientos deben ser lentos y controlados.,http://geoportal.malaga.eu/img/deportes/fm_26_1.jpg,http://geoportal.malaga.eu/img/deportes/fm_26_2.jpg,373601.4183,4066230.5863
da_zonasMusculacion.fid--295bdb9_15f70688162_1505,24182,POINT (-4.415622000073987 36.733385034963675),,,,,,,-1,-1,-1,0,,1,Pl. Olletas,,http://geoportal.malaga.eu/img/deportes/fz_1.jpg,28,Volante,1,http://geoportal.malaga.eu/img/deportes/im28.png,"Mejorar la movilidad de hombros, codos y muñecas.","Hay dos modalidades:1.- Situado de lado al aparato, realice movimientos circulares con una mano. Repita con la otra mano (Ver imagen).2.- Situdado frente a las ruedas, agarre cada asidero con una mano. Gire ambas ruedas hacia fuera, a continuación cambie el sentido de la rotación.",Realizar movimientos lentos y controlados.,http://geoportal.malaga.eu/img/deportes/fm_28_1.jpg,http://geoportal.malaga.eu/img/deportes/fm_28_2.jpg,373601.4183,4066230.5863
da_zonasMusculacion.fid--295bdb9_15f70688162_1506,24183,POINT (-4.415622000073987 36.733385034963675),,,,,,,-1,-1,-1,0,,1,Pl. Olletas,,http://geoportal.malaga.eu/img/deportes/fz_1.jpg,3,Barra a media altura,1,http://geoportal.malaga.eu/img/deportes/im3.png,Fortalecer los gemelos.,Coloque las manos sobre la barra y eleve los talones. Repita el ejercicio varias veces.,Agarrar firmemente la barra.,http://geoportal.malaga.eu/img/deportes/fm_3_1.jpg,http://geoportal.malaga.eu/img/deportes/fm_3_2.jpg,373601.4183,4066230.5863
da_zonasMusculacion.fid--295bdb9_15f70688162_1507,24184,POINT (-4.415622000073987 36.733385034963675),,,,,,,-1,-1,-1,0,,1,Pl. Olletas,,http://geoportal.malaga.eu/img/deportes/fz_1.jpg,34,Escalón,2,http://geoportal.malaga.eu/img/deportes/im34.png,Fortalecer muslos y glúteos.Tonificar músculos de brazos y espalda.,Sitúese frente al aparato y agarre los asideros laterales. Apoye uno de los pies sobre la plataforma elevada e intente subir el otro pie. Baje y repita con la pierna contraria.,Agarrarse bien para evitar caídas.No recomendado para usuarios con problemas de rodilla.,http://geoportal.malaga.eu/img/deportes/fm_34_1.jpg,http://geoportal.malaga.eu/img/deportes/fm_34_2.jpg,373601.4183,4066230.5863
